2026-09-16 autocomplete-pass - per-keyword export (343 new-to-inventory suggestions, 6 seeds)
keyword | proposed action | target

--- zakat calculator (244) ---
what is zakat calculator | dropped - already covered (existing zakat hub FAQ) | /zakat/
what is nisab in zakat calculator | dropped - already covered (existing zakat hub FAQ) | /zakat/
what is the best zakat calculator | dropped - already covered (existing zakat hub FAQ) | /zakat/
what is the formula to calculate zakat | dropped - already covered (existing zakat hub FAQ) | /zakat/
how zakat calculator | dropped - already covered (existing zakat hub FAQ) | /zakat/
how calculate zakat on gold | update existing body text (grouped) | /zakat/
how to do zakat calculator | dropped - already covered (existing zakat hub FAQ) | /zakat/
how to make zakat calculator | dropped - already covered (existing zakat hub FAQ) | /zakat/
how to pay zakat calculator | dropped - already covered (existing zakat hub FAQ) | /zakat/
how to work out zakat calculator | dropped - already covered (existing zakat hub FAQ) | /zakat/
zakat calculator how much percentage | dropped - already covered (existing zakat hub FAQ) | /zakat/
how is gold zakat calculator | update existing body text (grouped) | /zakat/
zakat calculator app | update existing body text (grouped) | /zakat/
zakat calculator as sunnah | dropped - navigational (searching for that specific charity/org's own calculator tool) | -
zakat calculator ahmadiyya | create new content (grouped) | /guides/zakat-calculation-by-madhab-hanafi-shafii-shia/
zakat calculator aed | update existing body text (grouped) | /zakat/
zakat calculator australia | update existing body text (grouped) | /zakat/
zakat calculator as sunnah foundation | dropped - navigational (searching for that specific charity/org's own calculator tool) | -
zakat calculator awqaf | dropped - navigational (searching for that specific charity/org's own calculator tool) | -
zakat calculator asb | update existing body text (grouped) | /zakat/
zakat calculator alkhidmat | dropped - navigational (searching for that specific charity/org's own calculator tool) | -
zakat calculator al khair | dropped - navigational (searching for that specific charity/org's own calculator tool) | -
zakat calculator bd | update existing body text (grouped) | /zakat/
zakat calculator bangladesh | dropped - wrong language (site is English-only; possible future localization play) | -
zakat calculator bangladesh 2026 | dropped - wrong language (site is English-only; possible future localization play) | -
zakat calculator brunei | update existing body text (grouped) | /zakat/
zakat calculator bahrain | update existing body text (grouped) | /zakat/
zakat calculator bd 2026 | update existing body text (grouped) | /zakat/
zakat calculator bangla | dropped - wrong language (site is English-only; possible future localization play) | -
